черный
белый
лиловый
рыжий
кремовый
темно коричневый
светло коричневый
молочный
тигровый
триколор (красный/черный/лиловый)
биколор (черный/красный)
лиловый с белым
черно-белый
перец с солью
голубой  с подпалом
голубой с пятнами
чепрачный
мраморный
абрикосовый
палевый
волчий
соболиный
муругий
чалый
пегий
