
абиссинская
американская жесткошерстная
американская короткошерстная
американский бобтейл
американский кёрл
ангорская
балинезийская
бенгальская
беспородная
бирма
бирманская пятнисто-краповая
бомбейская
британская голубая
британская короткошерстная
бурма
бурмилла
гаванна
герман рекс
девон рекс
домашняя
донский сфинкс
другая
европейская короткошерстная
египетская мау
канадский сфинкс
кимрик
корат
корниш-рекс
курильский бобтейл
манкс
манчкин
мейн кун
меконгский бобтейл
мексиканская
метис
мингонский бобтейл
мэйн кун
невская маскарадная
норвежская лесная дымчато-голубая
ориенталская короткошерстная
ориентальская длинношерстная
охос азулес
оцикет
персидская
пиксибоб
русская голубая
рысь домашняя
рэгдол
селкирк-рекс
сиамская
сибирская
сингапура
скоттиш страйт
скоттиш фолд
сноу-шу
сомали
сфинкс
тайская
тифани
тонкинез
турецкий ван
цейлонская
шартрез
шиншилла
шотландская вислоухая
экзотическая короткошерстная
японский бобтейл
